id;titre;adrs_numvoie;adrs_typevoie;adrs_libvoie;adrs_codepostal;adrs_libcommune;adrg_libvoie;address_processed;adrg_pays;siteweb
W012007537;A CORPS ET MOUVEMENT;82;RUE;de Lyon;1090;Montmerle-sur-Saône;82  rue de lyon;82  rue de lyon;FRANCE;
W012007538;LA COMPAGNIE DU MONDE A L'ENVERS;48;RUE;de Montholon;1000;Bourg-en-Bresse;48  RUE DE MONTHOLON;48  RUE DE MONTHOLON;FRANCE;
W012007539;CONSEIL LOCAL FCPE DU COLLEGE DE CEYZERIAT;29;RUE;Léon Morand;1250;Ceyzériat;29 RUE LÉON MORAND;29 RUE LÉON MORAND;FRANCE;
W012007540;ARTS EN PORCELAINE;170;RUE;de la Caillouse;1960;Péronnas;170 rue de la Caillouse;170 rue de la Caillouse;FRANCE;
W012007541;CONSEIL LOCAL F.C.P.E. DU COLLEGE DU REVERMONT;9;AV;de Jasseron;1000;Bourg-en-Bresse;chemin de Montaplan;chemin de Montaplan;FRANCE;
W012007542;ASSOCIATION DU VOYAGE EN ESPAGNE DU COLLEGE ANDRE LASSAGNE;195;CHEM1;du Mont Châtel;1120;Dagneux;195 chemin du Mont Châtel;195 chemin du Mont Châtel;FRANCE;
W012007543;KRIS'ENERGY;74;RTE;de Lyon;1800;Meximieux;74  route de Lyon;74  route de Lyon;FRANCE;
W012007544;CLUB DE TWIRLING BATON DE ST MAURICE DE BEYNOST (T.B.S.M.B.);32;RTE;de Genève;1700;Saint-Maurice-de-Beynost;32  ROUTE DE GENèVE;32  ROUTE DE GENèVE;FRANCE;
W012007545;ASSOCIATION DES SPORTS MECANIQUES ECULLOIS;;;1529, route de genève;1700;Beynost;1529, route de genève;1529, route de genève;FRANCE;
W012007546;ENTRE NOUS AVEC VOUS;;;;1310;Polliat;;  ;FRANCE;
W012007547;AMICALE DES 40 ANS 2003;;;;1330;Villars-les-Dombes;;  ;FRANCE;
W012007548;CAP PRODIFFUSION;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007549;AMIS - FAROUK;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007550;EQUIPAGE DES GRANDS CHENES DE BESSEREL;;;;1440;Viriat;;  ;FRANCE;
W012007551;BRESSE HANDBALL SPORTS;;;155 allée des petites mouilles;1310;Buellas;155 allée des petites mouilles;155 allée des petites mouilles;FRANCE;
W012007552;J.N.D.C.;;;;1700;Miribel;;  ;FRANCE;
W012007553;FA SI LA DANSER;;;;1480;Ars-sur-Formans;;  ;FRANCE;
W012007554;ASSOCIATION DES CREATEURS DE JEUX (A.C.J.);;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007555;AGIR POUR L'INSERTION ET LE RETOUR A L'EMPLOI (AGIRE);5;QUAI;Rambaud;69002;Lyon;5 QUAI RAMBAUD;5 QUAI RAMBAUD;FRANCE;
W012007556;FORMATIONS SANS FRONTIERE;;;18 rue docteur schweitzer;1000;Saint-Denis-lès-Bourg;18 rue docteur schweitzer;18 rue docteur schweitzer;FRANCE;
W012007557;AMICALE CLASSE 76;;;;1340;Foissiat;;  ;FRANCE;
W012007558;LES TRUCKASSES SKATE CLUB;;;;1440;Viriat;;  ;FRANCE;
W012007559;SPACE LAB PRODUCTION;;;17, rue de la bombardière;1800;Villieu-Loyes-Mollon;17, rue de la bombardière;17, rue de la bombardière;FRANCE;
W012007560;LE CHALET BUYATIN;;;;1800;Saint-Jean-de-Niost;;  ;FRANCE;
W012007561;ETINCELLES;;;7, rue de la petite hollande;1000;Bourg-en-Bresse;7, rue de la petite hollande;7, rue de la petite hollande;FRANCE;
W012007562;DOMBES HAND BALL (D.H.B.);;;;1330;Villars-les-Dombes;;  ;FRANCE;
W012007563;ASSOCIATION DES AMIS DU CHATEAU DE VARAMBON;;;;1160;Varambon;;  ;FRANCE;
W012007564;SOCIETE POUR LA FORMATION ET LE DEVELOPPEMENT DE L'IMPLANTOLOGIE EN OMNIPRATIQUE (S.F.D.I.O.);;;;1290;Pont-de-Veyle;;  ;FRANCE;
W012007565;COTIERE 2CV CLUB;;;;1120;Sainte-Croix;;  ;FRANCE;
W012007566;LES AMIS DE L'ECOLE DE RUGBY;;;;1290;Pont-de-Veyle;;  ;FRANCE;
W012007567;LES AMIS DU COLLECTIF TRANSPORTS DU VAL DE SAONE;;;287, route de veissieux le bas;1600;Reyrieux;287, route de veissieux le bas;287, route de veissieux le bas;FRANCE;
W012007568;ASSOCIATION DE QUARTIER SAINTE EUPHEMIE DE TOUSSIEUX - A.Q.S.E.T.;;;;1600;Toussieux;;  ;FRANCE;
W012007569;"MARPA ""LA REYSSOUZE""";45;RUE;DU GRAND PRE;1560;Saint-Julien-sur-Reyssouze;5  PLACE DE LA MAIRIE;5  PLACE DE LA MAIRIE;FRANCE;
W012007570;AMICAL RECITAL;;;;1160;Pont-d'Ain;;  ;FRANCE;
W012007571;KARATE CLUB DU VAL DE SAONE;;;...;1380;Bâgé-le-Châtel;225 RUE DES BOUVEUILS;225 RUE DES BOUVEUILS;FRANCE;
W012007572;SON SECHUN;;;;1960;Péronnas;;  ;FRANCE;
W012007573;TEAM AFRIC'AIN;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007574;LES CAVALIERS DU CLOS VAN DYCK;;;;1990;Baneins;;  ;FRANCE;
W012007575;ANIMA KIT;;;;1960;Péronnas;;  ;FRANCE;
W012007576;ASSOCIATION DE LA CLASSE 83;;;;1370;Saint-Étienne-du-Bois;;  ;FRANCE;
W012007577;ASSOCIATION POUR LE BIEN-ETRE DES GENS DE LA COTE;;;;1120;La    Boisse;;  ;FRANCE;
W012007578;AMICALE DES 18 ANS CLASSE EN 4;;;;1330;Villars-les-Dombes;;  ;FRANCE;
W012007579;FORMATION ORCHESTRALE DE LA POLICE MUNICIPALE DE LYON DITE PERMIS DE JOUER;;;;1800;Meximieux;;  ;FRANCE;
W012007580;ASSOCIATION GENERAL DEGOUTTE;;;62, rue Général Degoutte;1700;Miribel;62, rue Général Degoutte;62, rue Général Degoutte;FRANCE;
W012007581;L'A PROPOS;;;;1700;Miribel;;  ;FRANCE;
W012007582;AMICALE CLASSES EN TROIS REYRIEUX;;;;1600;Reyrieux;;  ;FRANCE;
W012007583;COMPAGNIE AU FAIT;;;39, rue des Sources;1700;Miribel;39, rue des Sources;39, rue des Sources;FRANCE;
W012007584;ASSOCIATION POUR LE SOUTIEN A LA FERME VITALE DE MOATA;;;;1960;Péronnas;;  ;FRANCE;
W012007585;M.M.O.;2900;CHEM1;de Beau Logis;1390;Mionnay;2900  CHEMIN DE BEAU LOGIS;2900  CHEMIN DE BEAU LOGIS;FRANCE;
W012007586;NIPPON ZEN DO-IN-ANKYO;24;LOT;le Grand Etang;1320;Chalamont;24  LOTISSEMENT LE GRAND ETANG;24  LOTISSEMENT LE GRAND ETANG;FRANCE;www.nippon-zen.fr
