local_id;name;country;state;city;zip;street;url;industry
W011001130;ASSOCIATION DU PALAIS DE JUSTICE DE BELLEY;FRANCE;;Belley;1300;boulevard du Mail;;
W011001131;LA ROSELIERE;FRANCE;;Virieu-le-Grand;1510;place Honoré d'Urfé;;
W011001132;ENSEMBLE VOCAL CANTABILE;FRANCE;;Lagnieu;1150;2 avenue Saint-Exupéry;;
W011001133;ASSOCIATION AMBERIEU MARATHON;FRANCE;;Ambérieu-en-Bugey;1500;  ;;
W011001134;LA CIBLE BELLEYSANNE;FRANCE;;Belley;1300;  ;;
W011001135;GROUPEMENT D'EMPLOYEURS DU BOIS DE FAY;FRANCE;;Songieu;1260;  ;;
W011001136;ASSOCIATION RATIONALISTE D'AMBERIEU (ARA);FRANCE;;Ambérieu-en-Bugey;1500;1 bis  rue des Apôtres;;
W011001137;ASSOCIATION SANTE VALROMEY-BUGEY;FRANCE;;Artemare;1510;22  RUE DE SAVOIE;;
W011001138;UNION COMMERCIALE ET ARTISANALE DE LAGNIEU;FRANCE;;Lagnieu;1150;  ;;
W011001139;LES P'TITS LOUPS DE MASSIGNIEU;FRANCE;;Massignieu-de-Rives;1300;  ;;
W011001140;GEIQ ALPHEE RHONE-ALPES SANTE SOCIAL;FRANCE;;Saint-Sorlin-en-Bugey;1150;10 place de la Halle;;
W011001141;AMICALE DES CHASSEURS D'ORDONNAZ;FRANCE;;Ordonnaz;1510;  ;;
W011001142;AMICALE DES SAPEURS-POMPIERS DE TORCIEU;FRANCE;;Torcieu;1230;  ;;
W011001143;ROBE D'1 SOIR;FRANCE;;Saint-Sorlin-en-Bugey;1150;12  montée de l'Eglise;;
W011001144;A.G.B - ASSOCIATION DES GENDARMES DU BUGEY;FRANCE;;Saint-Vulbas;1150;2000  ROUTE DE LOYETTES;;
W011001145;SOCIETE AMICALE DES SAPEURS-POMPIERS D'AMBERIEU-EN-BUGEY;FRANCE;;Ambérieu-en-Bugey;1500;  ;;
W011001146;SOCIETE COMMUNALE DE CHASSE DE SAINT SORLIN EN BUGEY;FRANCE;;Saint-Sorlin-en-Bugey;1150;  ;;
W011001147;AMICALE PÉTANQUE DE SAULT-BRENAZ;FRANCE;;Sault-Brénaz;1150;RUE MARCHAMP;;
W011001148;ASSOCIATION DES SETS À PANSEMENTS;FRANCE;;Hauteville-Lompnes;1110;1687 AV Mangini;;
W011001149;ASSOCIATION POUR L'AUTOBIOGRAPHIE ET LE PATRIMOINE AUTOBIOGRAPHIQUE;FRANCE;;Ambérieu-en-Bugey;1500;10 rue Amédée Bonnet;;
W011001150;SOCIETE DES CHASSEURS DE MONTAGNIEU;FRANCE;;Montagnieu;1470;  ;;
W011001151;AERO-CLUB DU HAUT-BUGEY;FRANCE;;Corlier;1110;  ;;
W011001152;AMICALE DES ANCIENS COMBATTANTS DE TOUTES ORIGINES ET VICTIMES DE GUERRE DE SAINT RAMBERT EN BUGEY;FRANCE;;Saint-Rambert-en-Bugey;1230;  ;;
W011001153;ASSOCIATION LAURE-ANNE ET CHLOÉ (ALAC);FRANCE;;Sault-Brénaz;1150;PLACE DE LA FONTAINE;;
W011001154;CONFRERIE DU GRANGEON DE MANICLE;FRANCE;;Vongnes;1350;CHEMIN DES VIGNES;;
W011001155;TENNIS-CLUB BREGNIER-CORDON;FRANCE;;Brégnier-Cordon;1300;458 RUE DE LA MAIRIE;;
W011001156;AMICALE BOULES DU CHANAY;FRANCE;;Tenay;1230;  ;;
W011001157;COMITE DES FÊTES DE LOMPNAS;FRANCE;;Lompnas;1680;  ;;
W011001158;AMICALE DES CONSCRITS DE CORMARANCHE EN BUGEY;FRANCE;;Cormaranche-en-Bugey;1110;272 ROUTE DE SERVOIN;;
W011001159;ADMR DU COLOMBIER;FRANCE;;Anglefort;1350;  ;;
W011001160;LOISIRS NAUTIQUES BRIORD;FRANCE;;Briord;1470;  ;;
W011001161;ASSOCIATION DE GESTION DU CENTRE D'ENTRAINEMENT DU PARC DU CHEVAL RHONE-ALPES;FRANCE;;Chazey-sur-Ain;1150;  ;;
W011001162;BIBLIOTHEQUE MUNICIPALE D'AMBRONAY;FRANCE;;Ambronay;1500;  ;;
W011001163;ALCOOL ECOUTE JOIE ET SANTE DE L'AIN;FRANCE;;Artemare;1510;103 avenue Mangini;;
W011001164;RTTS (REFLEXION, TECHNIQUE, TACTIQUE, STRATEGIE);FRANCE;;Blyes;1150;501 Route de Loyettes;http://www.rtts.fr;
W011001165;ASSOCIATION DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE DU CANTON DE VIRIEU-LE-GRAND - AIN;FRANCE;;Virieu-le-Grand;1510;202 rue des Pelands;;
W011001166;AMICALE BOULES DE BREGNIER CORDON;FRANCE;;Brégnier-Cordon;1300;  ;;
W011001167;REPONSES;FRANCE;;Ambérieu-en-Bugey;1500;4 PLACE ROBERT MARCELPOIL;;
W011001168;AMICALE DES SAPEURS POMPIERS DE LHUIS;FRANCE;;Lhuis;1680;  ;;
W011001169;COLLECTIF CITOYEN DE JARVONOZ, AUTRES HAMEAUX, SAINT RAMBERT EN BUGEY;FRANCE;;Saint-Rambert-en-Bugey;1230;  ;;
W011001170;LES JARDINS DE MAYA;FRANCE;;Foissiat;1340;53  PLACE DU FOURNIL;;
W011001171;LES CLOUDS ASSO;FRANCE;;Villebois;1150;385  RUE DE L'YRAN;;
W011001172;LE PATRIMOINE DES QUATRE CLOCHERS;FRANCE;;Sainte-Julie;1150;RUE DES VERCHèRES;;
W011001173;PINCE-MI & PINCE-MOI PRODUCTIONS;FRANCE;;Ambérieu-en-Bugey;1500;16 AVENUE BELLIèVRE;;
W011001174;COMPTINES ET CROCUS;FRANCE;;Champagne-en-Valromey;1260;6 RUE DU CLUSY;;
W011001175;AMICALE DES CLASSES EN 1;FRANCE;;Ambérieu-en-Bugey;1500;199  RUE DE VAREILLE;;
W011001176;AMICALE DES SAPEURS-POMPIERS DE CHATEAU-GAILLARD;FRANCE;;Château-Gaillard;1500;  ;;
W011001177;FIL'ETFORME;FRANCE;;Champdor-Corcelles;1110;55  RUE DE LA FRUITIèRE;;
W011001178;SOCIETE DE CHASSE DE CORLIER;FRANCE;;Corlier;1110;  ;;
W011001179;CLUB DE TAI CHI CHUAN DE BELLEY (CTCCB);FRANCE;;Belley;1300;12 RUE Sainte Marie;;
W011001180;AMICALE DES JEUNES DE SAINT-MARTIN-DE-BAVEL;FRANCE;;Saint-Martin-de-Bavel;1510;  ;;
W011001181;FISHING RESPECT (FR);FRANCE;;Briord;1470;9 RUE DES VERCHERES;;
W011001182;LES GAZOU-VERT;FRANCE;;Magnieu;1300;191  rue de la Fontaine;;
W011001183;ASSOCIATION DES COMMERCANT INDEPENDANTS DU CENTRE COMMERCIAL D'AMBERIEU-EN-BUGEY;FRANCE;;Ambérieu-en-Bugey;1500;  ;;
W011001184;UNION SPORTIVE DE LOYETTES;FRANCE;;Loyettes;1360;RUE DE TOURNESOLS;;
W011001185;ASSOCIATION DEPARTEMENTALE DES RADIOAMATEURS AU SERVICE DE LA SECURITE CIVILE DE L'AIN (ADRASEC 01);FRANCE;;Neuville-sur-Ain;1160;CHEMIN DU BLANCHET;;
W011001186;T. L. D. (TORCIEU LOISIR DETENTE);FRANCE;;Torcieu;1230;grande rue;;
W011001187;LES PIEDS SUR TERRE;FRANCE;;Douvres;1500;24 RUE DES COTTAGES;;
W011001188;LES AMIS DE LA NUIT;FRANCE;;Ambronay;1500;  ;;
W011001189;ASSOCIATION 'CENTRE MEDICAL FELIX MANGINI';FRANCE;;Hauteville-Lompnes;1110;29 QUAI SAINT ANTOINE;;
W011001190;ASSOCIATION LA BROCANTE DE LEYMENT;FRANCE;;Leyment;1150;ZONE D'ACTIVITé DE LEYMENT;;
W011001191;BELLE BOULE DE BLANAZ;FRANCE;;Saint-Rambert-en-Bugey;1230;  ;;
W011001192;COMITE DEPARTEMENTAL DE CANOE-KAYAK;FRANCE;;Ambronay;1500;LA POYAT;;
W011001193;CENTRE SOCIAL ET CULTUREL;FRANCE;;Hauteville-Lompnes;1110;PLACE DU DOCTEUR LE TACON;http://les7lieux.centres-sociaux.fr;
W011001194;LE SARMENT DES PETITES CROIX;FRANCE;;Pollieu;1350;rue de l'alambic;;
W011001195;AMICALE DES MODELISTES FERROVIAIRES AMBARROIS;FRANCE;;Ambérieu-en-Bugey;1500;22 rue Girod de l'Ain;;
W011001196;ARTISANAT, COMMERCE ET DEVELOPPEMENT DU PLATEAU D'HAUTEVILLE;FRANCE;;Plateau d'Hauteville;1110;  ;;
W011001197;UNION FEDERALE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE SECTION DU CANTON DE BELLEY;FRANCE;;Belley;1300;  ;;
W011001198;STYL'GUITAR;FRANCE;;Poncin;1450;  ;;
W011001199;AMAP'TITE CONTREE;FRANCE;;Sainte-Julie;1150;50 impasse du Cordonnier;;
W011001200;LES MUGUETS BLANCS DE LEYMENT;FRANCE;;Leyment;1150;  ;;
W011001201;ASSOCIATION DES AMIS DU FOUR DE GRAMMONT, LE CATTON;FRANCE;;Ceyzérieu;1350;100 RUE DU CHATEAU;;
W011001202;SOCIETE DE CHASSE DE SONGIEU;FRANCE;;Songieu;1260;  ;;
W011001203;ARC EN CIEL LES COULEURS DU REVE DANS UN CIEL D'ENFANTS;FRANCE;;Seyssel;1420;  ;;
W011001204;LES 3 CIRQUES DE L'ILE DE LA REUNION;FRANCE;;Pugieu;1510;  ;;
W011001205;MEGA DANSE (MURS ET GELIGNEUX ASSOCIATION DANSE);FRANCE;;Murs-et-Gélignieux;1300;395 route de Belley;;
W011001206;ETRE ET BIEN ETRE;FRANCE;;Artemare;1510;1  lieu-dit sous Tornavaz;;
W011001207;CLUB PYRAMIDE MARINETTE;FRANCE;;Belley;1300;rue Georges Brassens;;
W011001208;REFLEXAVENIR;FRANCE;;Belley;1300;29  rue du Mont;;
W011001209;COUNTRY'S FRIENDS;FRANCE;;Lompnieu;1260;  ;;
W011001210;LES ARTS DU CHÂTEAU;FRANCE;;Thézillieu;1110;365 chemin de Touviere;;
W011001211;ARTGENS NATIF;FRANCE;;Saint-Germain-les-Paroisses;1300;377 CHEMIN DU TRAPPON;;
W011001212;VALROMEY CYCLO;FRANCE;;Champagne-en-Valromey;1260;169 ROUTE DE PASSIN;;
W011001213;PETANQUE DE CHAZEY-BONS;FRANCE;;Chazey-Bons;1300;92 GRANDE RUE;;
